High;Low;Volume;Periode
12,98999977;12,08500004;24389927;135
12,28999996;11,84500027;22608930;136
12,21000004;11,625;12446567;137
12,02999973;11,73499966;5722933;138
12,28499985;11,94499969;3849808;139
12,11999989;11,91499996;5733650;140
12,26500034;11,98499966;2459427;141
12,14000034;11,64500046;6646965;142
12,06999969;11,73999977;4654759;143
12,23999977;11,81000042;2919950;144
12,52999973;12,29500008;4121187;145
12,61999989;12,34000015;9072919;146
12,60000038;11,64999962;9922886;147
12,23499966;11,98999977;7358759;148
12,19999981;11,81999969;4629294;149
12;11,76000023;4323942;150
12,14999962;11,76000023;4276226;151
12,13500023;11,77499962;4506532;152
11,89500046;11,53499985;5015422;153
12,11499977;11,82499981;11926231;154
12,47999954;11,94999981;5263031;155
12,47999954;12,18000031;6930839;156
12,58500004;12,34500027;4524954;157
12,89999962;12,56999969;4784854;158
12,73499966;12,20499992;3999758;159
12,77999973;12,40499973;5634519;160
12,68000031;12,42500019;3522524;161
13,03999996;12,68000031;4773433;162
13,18000031;12,91499996;5121025;163
13,28499985;12,83500004;4110563;164
13,72999954;13,22000027;5472959;165
13,68999958;13,22999954;4298287;166
13,60999966;13,40499973;3376860;167
13,54500008;13,39000034;3721033;168
13,64999962;13,22500038;2852176;169
13,81499958;13,16499996;4697032;170
13,22000027;12,65999985;11072717;171
13,00500011;12,78499985;3803212;172
13,43999958;12,89999962;4960994;173
13,76500034;13,34000015;4975330;174
13,84000015;13,43999958;4309713;175
13,66499996;12,93000031;7808306;176
13,11499977;12,77999973;4422489;177
13,17000008;12,83500004;3273872;178
13,44499969;13,08500004;11615075;179
13,25;12,78499985;6020883;180
13,03499985;12,71000004;5583192;181
12,93000031;12,24499989;9196798;182
12,38500023;11,88500023;14716127;183
12,15499973;11,70499992;4629897;184
12,19499969;11,89999962;4279604;185
12,36999989;11,85000038;7811223;186
12,15499973;11,76500034;4370197;187
11,92000008;11,18500042;7004593;188
11,47000027;11,05000019;5753260;189
11,70499992;11,31999969;5206047;190
11,90499973;11,32999992;5625187;191
11,86499977;11,46500015;4946081;192
11,99499989;11,68000031;4074554;193
12,25;11,83500004;4660644;194
12,63000011;12,20499992;6618752;195
12,80000019;12,19499969;5219275;196
12,89000034;12,42000008;4748670;197
12,73999977;12,44999981;3655522;198
12,74499989;12,39999962;3522891;199
12,35000038;11,92500019;5712538;200
12,46500015;12,02499962;4330140;201
12,73999977;12,09500027;4147834;202
12,99499989;12,49499989;5201312;203
12,99499989;12,51000023;5589988;204
12,89000034;12,61999989;3729074;205
12,93000031;12,67500019;3391156;206
13,39500046;12,89999962;4438711;207
13,22999954;12,96000004;4579057;208
13,41499996;12,97000027;3956501;209
13,375;13,07499981;6668012;210
